Name	RefineId	Index	ProduceGenre	ProduceDetail	ProduceParti	ProduceLevel	Faction	AttRoute	Sex	EquipGenre	EquipDetail	EquipParti	EquipLevel	Fee
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Kim	1	1	4	10	5	10	-1	-1	-1	2	10	12	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Kim	1	2	4	10	3	10	-1	-1	-1	2	10	112	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Kim	1	3	4	10	3	10	-1	-1	-1	2	10	212	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Kim	1	4	4	10	1	10	-1	-1	-1	2	10	312	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Kim	1	5	4	10	1	10	-1	-1	-1	2	10	412	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Kim	1	6	4	10	5	10	-1	-1	-1	2	10	508	10	10000
Bộ Tiêu Dao Tím_Hộ uyển nam ngoại công hệ Kim	1	7	4	10	3	10	-1	-1	-1	2	10	568	10	10000
Bộ Tiêu Dao Cam_Hộ uyển nam ngoại công hệ Kim	1	8	4	10	1	10	-1	-1	-1	2	10	628	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Kim	1	9	4	10	6	10	-1	-1	-1	2	10	22	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Kim	1	10	4	10	4	10	-1	-1	-1	2	10	122	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Kim	1	11	4	10	4	10	-1	-1	-1	2	10	222	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Kim	1	12	4	10	2	10	-1	-1	-1	2	10	322	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Kim	1	13	4	10	2	10	-1	-1	-1	2	10	422	10	10000
Bộ Tiêu Dao Xanh_Thủ trạc nữ ngoại công hệ Kim	1	14	4	10	6	10	-1	-1	-1	2	10	514	10	10000
Bộ Tiêu Dao Tím_Thủ trạc nữ ngoại công hệ Kim	1	15	4	10	4	10	-1	-1	-1	2	10	574	10	10000
Bộ Tiêu Dao Cam_Thủ trạc nữ ngoại công hệ Kim	1	16	4	10	2	10	-1	-1	-1	2	10	634	10	10000
Bộ Tiêu Dao Xanh_Hộ uyển nam ngoại công hệ Mộc	1	17	4	10	15	10	-1	-1	-1	2	10	32	10	10000
