TotalFile:216	PakTime:2012-9-17 19:21:19	PakTimeSave:505707af	CRC:a4b6593e
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	617602	2009-11-20 16:4:7	\setting\relation\training.ini	181	112	4	a3247cb
1	c7445b	2010-9-30 16:24:1	\setting\mission\gbwlls\league_award\award_session_4_lv2.txt	1499	479	4	5ae3af95
2	193c6fb	2011-9-21 11:27:18	\setting\mission\gbwlls\league_award\award_session_6_type.txt	132	109	4	8605f771
3	27759af	2011-5-27 15:3:14	\setting\autoteam\moneyhonor.txt	368	171	4	d3b1ac24
4	2c778bb	2011-11-1 22:18:3	\setting\event\neweventplantform\plantform_award\award_session_4.txt	700	158	4	94550968
5	40bfc4d	2009-7-31 9:59:49	\setting\mission\wlls\league_type\double.txt	1260	666	4	296756d
6	469957b	2011-11-1 22:18:3	\setting\event\neweventplantform\plantform_award\award_session_3.txt	700	158	4	94550968
7	4fd3b08	2011-12-28 19:38:46	\setting\kin\kinplant\plantexp.txt	141	129	4	76bd446a
8	58405a3	2009-12-25 17:29:52	\setting\mission\gbwlls\league_award\award_session_4_lv1.txt	611	334	4	2f8a77b2
9	7adc298	2011-1-23 16:28:3	\setting\mission\castlefight\castlefight_cfg.txt	1190	758	4	d2530a7
10	8eab69f	2012-3-23 15:14:9	\setting\mission\gbwlls\league_award\award_session_7_type.txt	134	106	4	7c127cc
11	967716e	2010-4-16 10:32:18	\setting\mission\gbwlls\league_award\award_session_2_lv2.txt	1441	473	4	d9759d85
12	9fc013b	2011-11-1 22:18:3	\setting\event\neweventplantform\plantform_award\award_session_2.txt	700	158	4	94550968
13	a631c32	2011-4-18 11:28:27	\setting\event\eventplantform\plantform_trap\castlefight_trap.txt	86	73	4	e4983fbe
14	ab00c08	2009-11-4 12:10:35	\setting\scriptvalue\vfactory.txt	66	66	0	5146b0ac
15	c43e04b	2012-8-30 9:12:11	\setting\mission\wlls\league_type\singlefaction.txt	1644	835	4	35ec352b
16	ef7487e	2011-4-14 19:31:57	\setting\event\eventplantform\plantform_type.txt	506	293	4	d6d0e0c8
17	10170e3b	2010-12-15 11:30:36	\setting\mission\gbwlls\league_award\award_session_8_lv2.txt	1439	474	4	347122d8
18	112970b5	2011-11-16 9:47:26	\setting\downloader\reslist\skill_effect_2.txt	2587	550	4	869d5406
19	1243f995	2009-8-21 18:7:44	\setting\mission\wlls\league_award\award_session_9_type.txt	125	101	4	aab0fc4c
20	124a0138	2009-10-10 18:50:29	\setting\scriptvalue\filelist.txt	468	250	4	4b8da765
21	13000e0b	2009-9-23 18:30:20	\setting\globalserverbattle\wldh\league_type\double.txt	591	410	4	2a0139c9
22	1367e6de	2012-1-5 14:44:14	\setting\kin\kinplant\plant.txt	2482	928	4	38f87b2
23	149f4e6f	2011-11-16 9:47:26	\setting\downloader\reslist\skill_effect_1.txt	2832	566	4	688fb1bf
24	14d4cf83	2009-12-25 17:29:52	\setting\mission\gbwlls\league_award\award_session_8_lv1.txt	611	336	4	277a798d
25	1630da82	2012-9-16 10:24:25	\setting\scheduletask\tasklist.ini	20341	5542	4	b9cc37f7
26	167b9979	2012-4-12 16:11:29	\setting\mission\gbwlls\league_type.txt	565	300	4	63c9b840
27	1704eb0d	2009-9-23 18:30:20	\setting\globalserverbattle\wldh\league_trap\minimap_trap.txt	1413	679	4	775df83b
28	172073df	2012-7-19 22:17:23	\setting\mission\gbwlls\league_table.txt	1464	506	4	a2e1b047
29	18cb6ca8	2011-6-10 10:21:35	\setting\battle\songjin\battlemap.txt	1119	355	4	66061920
30	1ac0546d	2009-6-30 10:33:58	\setting\scriptvalue\dragonboat.txt	206	123	4	e4e7bc47
31	1c582847	2011-7-8 15:53:22	\setting\item\auction_condition.txt	1275	399	4	d58f2baf
32	202394bf	2012-7-3 18:8:24	\setting\role\rolenamefilter.ini	18837	11289	4	889e3d57
33	2109382d	2009-1-7 16:10:44	\setting\mission\wlls\league_award\award_session_2_type.txt	144	112	4	4bfe78d6
34	2171bb5e	2011-12-28 19:38:46	\setting\kin\kinplant\planttask.txt	3680	855	4	a4d32bc3
35	2225fce7	2011-12-16 15:5:46	\setting\domainbattle\statuaryplace.txt	704	299	4	59bb98ea
36	2309f77f	2010-12-14 15:18:5	\setting\misc\statlog.txt	302	216	4	a669a55d
37	231026dc	2010-11-3 11:9:47	\setting\mission\wlls\league_award\award_session_8_lv1.txt	619	336	4	ce05ef5
38	2462b9c6	2009-1-7 9:50:47	\setting\mission\wlls\league_award\award_session_4_type.txt	145	107	4	27fdcbff
39	26ca9e63	2011-11-1 22:18:3	\setting\event\neweventplantform\plantform_trap\castlefight_trap.txt	86	73	4	e4983fbe
40	280b5811	2009-12-25 17:29:52	\setting\mission\gbwlls\league_type\single.txt	1278	667	4	467ed9fd
41	2b18ab8c	2012-9-16 10:24:25	\setting\event\manager\event.txt	31213	10867	4	b1d9788d
42	2bee7798	2009-5-27 20:0:47	\setting\verconfig.ini	55	49	4	decf5935
43	2c5198ae	2009-6-18 11:6:56	\setting\mission\wlls\league_award\award_session_8_type.txt	145	107	4	27fdcbff
