TRAPX	TRAPY
1438	3485	
1432	3492	
1437	3497	
1430	3496	
1434	3501	
1438	3505	
1441	3482	
1444	3479	
1447	3476	
1450	3473	
1453	3470	
1455	3474	
1445	3486	
1447	3483	
1450	3480	
1452	3477	
1455	3481	
1452	3485	
1441	3501	
1445	3505	
1450	3510	
1454	3514	
1442	3510	
1447	3515	
1451	3519	
1442	3490	
1454	3491	
1448	3488	
1445	3494	
1450	3494	
1455	3523	
1467	3453	
1459	3460	
1463	3456	
1471	3457	
1466	3460	
1463	3465	
1470	3465	
1467	3470	
1470	3473	
1456	3467	
1459	3470	
1461	3474	
1464	3477	
1458	3478	
1461	3482	
1457	3486	
1458	3519	
1466	3519	
1463	3523	
1468	3528	
1460	3527	
1464	3532	
1469	3537	
1469	3521	
1475	3461	
1478	3465	
1482	3469	
1486	3472	
1474	3469	
1477	3473	
1473	3477	
1481	3478	
1477	3482	
1485	3483	
1480	3488	
1485	3493	
1473	3517	
1477	3513	
1480	3510	
1483	3506	
1486	3503	
1486	3509	
1483	3512	
1486	3516	
1480	3516	
1485	3500	
1473	3533	
1483	3520	
1477	3520	
1479	3523	
1472	3524	
1476	3527	
1479	3531	
1481	3526	
1484	3522	
1484	3529	
1490	3477	
1494	3482	
1498	3486	
1489	3487	
1502	3492	
1494	3491	
1489	3497	
1497	3496	
1493	3501	
1489	3505	
1491	3509	
1488	3513	
1488	3526	
