TRAPX	TRAPY
1591	3327	
1597	3322	
1599	3324	
1594	3325	
1596	3327	
1593	3329	
1595	3331	
1597	3333	
1599	3329	
1589	3330	
1587	3333	
1584	3337	
1591	3332	
1589	3335	
1587	3339	
1593	3334	
1591	3337	
1589	3341	
1596	3336	
1594	3339	
1591	3343	
1598	3339	
1596	3342	
1593	3346	
1615	3325	
1613	3323	
1611	3321	
1609	3319	
1607	3317	
1605	3315	
1603	3313	
1601	3316	
1600	3319	
1603	3318	
1601	3321	
1603	3323	
1605	3321	
1607	3322	
1605	3325	
1609	3324	
1607	3327	
1611	3326	
1601	3326	
1609	3328	
1613	3328	
1611	3330	
1615	3330	
1615	3334	
1613	3332	
1600	3336	
1603	3328	
1605	3331	
1600	3332	
1603	3333	
1614	3365	
1617	3327	
1619	3337	
1621	3335	
1623	3333	
1625	3335	
1627	3337	
1629	3339	
1631	3341	
1623	3337	
1621	3340	
1623	3342	
1625	3340	
1627	3342	
1625	3344	
1629	3344	
1627	3347	
1629	3349	
1631	3346	
1631	3351	
1621	3331	
1619	3329	
1617	3332	
1619	3333	
1617	3336	
1621	3357	
1624	3354	
1626	3351	
1625	3357	
1628	3354	
1630	3357	
1623	3360	
1625	3362	
1627	3365	
1629	3368	
1627	3360	
1629	3362	
1631	3365	
1619	3360	
1617	3363	
1621	3363	
1618	3366	
1616	3369	
1623	3365	
1621	3368	
1619	3371	
1625	3368	
1623	3371	
1620	3374	
1627	3371	
1625	3374	
1622	3377	
1633	3343	
1635	3345	
1637	3347	
1639	3349	
1641	3352	
1633	3348	
1633	3354	
1635	3350	
1635	3356	
1637	3353	
1637	3359	
1639	3355	
1632	3359	
1634	3362	
1575	3339	
1573	3342	
1568	3348	
1571	3345	
1577	3341	
1579	3343	
1581	3345	
1583	3347	
1571	3350	
1573	3347	
1575	3344	
1573	3353	
1575	3350	
1577	3347	
1575	3355	
1577	3352	
1579	3349	
1577	3357	
1579	3354	
1581	3351	
1579	3359	
1581	3356	
1583	3353	
1583	3358	
1581	3361	
1583	3363	
1585	3349	
1587	3351	
1589	3353	
1591	3355	
1593	3357	
1595	3359	
1585	3355	
1587	3357	
1597	3361	
1599	3363	
1585	3360	
1585	3365	
1587	3362	
1589	3360	
1587	3367	
1589	3364	
1591	3361	
1593	3363	
1591	3366	
1589	3369	
1594	3365	
1593	3368	
1591	3371	
1597	3367	
1595	3370	
1593	3373	
1599	3369	
1595	3375	
1597	3372	
1599	3374	
1597	3377	
1599	3379	
1605	3369	
1607	3371	
1609	3373	
1611	3375	
1613	3378	
1601	3365	
1603	3367	
1601	3371	
1603	3373	
1601	3376	
1605	3375	
1603	3378	
1602	3381	
1607	3377	
1605	3380	
1604	3383	
1609	3379	
1608	3382	
1606	3386	
1611	3382	
1610	3385	
1609	3389	
