ARENA_ID	X	Y	RADII
1	1726	3107	10
1	1731	3078	10
1	1747	3060	10
1	1750	3101	10
1	1768	3079	10
2	1806	3191	10
2	1808	3162	10
2	1827	3146	10
2	1828	3182	10
2	1845	3165	10
3	1891	3242	10
3	1888	3273	10
3	1910	3224	10
3	1912	3268	10
3	1931	3245	10
4	1978	3320	10
4	1969	3350	10
4	1997	3303	10
4	1999	3344	10
4	2019	3324	10
5	1878	3429	10
5	1872	3462	10
5	1898	3408	10
5	1900	3454	10
5	1921	3432	10
6	1790	3385	10
6	1795	3350	10
6	1814	3329	10
6	1817	3375	10
6	1836	3351	10
7	1710	3267	10
7	1704	3299	10
7	1727	3245	10
7	1731	3292	10
7	1749	3270	10
8	1625	3183	10
8	1622	3216	10
8	1642	3161	10
8	1645	3212	10
8	1664	3189	10
