GROUP	X	Y
1	1595	3355
1	1592	3354
1	1591	3350
1	1592	3346
1	1593	3341
1	1597	3336
1	1596	3340
1	1610	3325
1	1600	3336
1	1601	3332
1	1604	3332
1	1605	3328
1	1608	3328
1	1612	3328
1	1615	3329
1	1610	3370
1	1606	3368
1	1616	3332
1	1619	3333
1	1621	3337
1	1624	3338
1	1625	3341
1	1628	3344
1	1629	3349
1	1627	3353
1	1625	3357
1	1623	3357
1	1621	3362
1	1619	3362
1	1617	3366
2	1451	3507
2	1448	3505
2	1447	3500
2	1449	3493
2	1453	3493
2	1454	3488
2	1458	3484
2	1461	3483
2	1463	3479
2	1466	3479
2	1469	3478
2	1471	3481
2	1457	3488
2	1462	3520
2	1465	3523
2	1471	3524
2	1468	3526
2	1474	3481
2	1475	3485
2	1479	3487
2	1481	3491
2	1484	3493
2	1486	3497
2	1485	3505
2	1484	3509
2	1481	3509
2	1480	3513
2	1477	3514
2	1473	3520
2	1488	3502
3	1452	3346
3	1450	3346
3	1453	3341
3	1451	3360
3	1470	3333
3	1468	3329
3	1465	3330
3	1456	3342
3	1457	3338
3	1460	3338
3	1461	3334
3	1464	3333
3	1462	3372
3	1464	3376
3	1467	3375
3	1470	3372
3	1485	3357
3	1487	3354
3	1486	3349
3	1484	3345
3	1481	3344
3	1479	3340
3	1476	3340
3	1473	3334
3	1472	3370
3	1475	3368
3	1477	3366
3	1479	3364
3	1481	3361
3	1484	3360
4	1599	3493
4	1596	3495
4	1596	3501
4	1598	3506
4	1613	3479
4	1610	3480
4	1608	3484
4	1605	3485
4	1609	3519
4	1603	3489
4	1600	3490
4	1611	3521
4	1614	3523
4	1627	3487
4	1624	3486
4	1622	3482
4	1619	3482
4	1617	3478
4	1619	3519
4	1622	3517
4	1624	3513
4	1627	3512
4	1629	3508
4	1631	3492
4	1628	3491
4	1617	3522
4	1632	3507
4	1634	3503
4	1635	3499
4	1633	3496
5	1534	3263
5	1535	3259
5	1524	3274
5	1526	3271
5	1527	3267
5	1530	3268
5	1531	3264
5	1535	3297
5	1548	3263
5	1545	3262
5	1539	3256
5	1538	3259
5	1542	3256
5	1544	3259
5	1547	3294
5	1550	3294
5	1551	3290
5	1550	3267
5	1538	3299
5	1541	3303
5	1543	3299
5	1546	3298
5	1554	3290
5	1555	3286
5	1559	3285
5	1559	3281
5	1558	3277
5	1557	3272
5	1554	3271
5	1552	3268
6	1678	3410
6	1677	3414
6	1674	3415
6	1672	3419
6	1669	3421
6	1669	3426
6	1671	3431
6	1694	3407
6	1691	3406
6	1689	3403
6	1686	3404
6	1683	3406
6	1681	3409
6	1683	3445
6	1685	3448
6	1688	3448
6	1692	3447
6	1693	3443
6	1705	3421
6	1703	3417
6	1700	3416
6	1699	3412
6	1696	3411
6	1697	3442
6	1699	3438
6	1702	3437
6	1703	3433
6	1707	3432
6	1707	3428
6	1708	3424
7	1374	3433
7	1373	3428
7	1375	3424
7	1377	3420
7	1380	3418
7	1382	3414
7	1385	3413
7	1387	3409
7	1390	3408
7	1390	3404
7	1377	3434
7	1390	3446
7	1376	3430
7	1393	3404
7	1396	3407
7	1400	3408
7	1405	3414
7	1398	3403
7	1393	3450
7	1396	3448
7	1398	3445
7	1401	3443
7	1403	3440
7	1406	3437
7	1408	3418
7	1408	3413
7	1409	3434
7	1412	3431
7	1414	3429
7	1414	3424
8	1524	3581
8	1521	3578
8	1527	3565
8	1529	3561
8	1532	3560
8	1534	3556
8	1523	3570
8	1520	3573
8	1524	3566
8	1538	3551
8	1537	3555
8	1542	3552
8	1545	3553
8	1547	3556
8	1550	3555
8	1549	3588
8	1548	3592
8	1543	3594
8	1541	3598
8	1539	3595
8	1536	3593
8	1557	3564
8	1560	3573
8	1561	3579
8	1558	3579
8	1557	3583
8	1554	3563
8	1552	3559
8	1554	3585
8	1552	3589
9	1567	3357
9	1565	3359
9	1563	3362
9	1560	3364
9	1558	3368
9	1555	3373
9	1555	3380
9	1581	3359
9	1580	3355
9	1577	3354
9	1569	3354
9	1570	3397
9	1573	3398
9	1574	3402
9	1579	3403
9	1581	3399
9	1591	3389
9	1594	3389
9	1595	3383
9	1598	3380
9	1596	3377
9	1594	3374
9	1593	3369
9	1590	3369
9	1588	3363
9	1585	3364
9	1584	3360
9	1584	3399
9	1586	3395
9	1589	3393
