TRAPX	TRAPY
1598	3485	
1594	3489	
1597	3496	
1593	3504	
1597	3509	
1590	3510	
1594	3516	
1597	3519	
1588	3517	
1591	3521	
1594	3526	
1598	3529	
1602	3481	
1606	3478	
1610	3472	
1613	3477	
1609	3482	
1605	3486	
1601	3491	
1600	3514	
1604	3518	
1609	3523	
1600	3524	
1605	3529	
1602	3534	
1617	3478	
1620	3474	
1623	3471	
1620	3481	
1622	3484	
1625	3487	
1626	3474	
1623	3477	
1626	3481	
1629	3478	
1629	3486	
1620	3517	
1624	3513	
1628	3509	
1631	3512	
1626	3516	
1629	3491	
1616	3521	
1623	3520	
1618	3525	
1633	3483	
1632	3504	
1634	3508	
1633	3489	
1638	3488	
