Type	TypeEx	Series	Sex	Genre	DetailType	ParticularType	Level	Infor
1	1	1	1	4	6	94	10	联赛套装金系祈福白银护身符
1	2	1	1	4	6	95	10	联赛套装金系祈福黄金护身符
1	1	2	1	4	6	99	10	联赛套装木系祈福白银护身符
1	2	2	1	4	6	100	10	联赛套装木系祈福黄金护身符
1	1	3	1	4	6	104	10	联赛套装水系祈福白银护身符
1	2	3	1	4	6	105	10	联赛套装水系祈福黄金护身符
1	1	4	1	4	6	109	10	联赛套装火系祈福白银护身符
1	2	4	1	4	6	110	10	联赛套装火系祈福黄金护身符
1	1	5	1	4	6	114	10	联赛套装土系祈福白银护身符
1	2	5	1	4	6	115	10	联赛套装土系祈福黄金护身符
1	1	1	2	4	6	94	10	联赛套装金系祈福白银护身符
1	2	1	2	4	6	95	10	联赛套装金系祈福黄金护身符
1	1	2	2	4	6	99	10	联赛套装木系祈福白银护身符
1	2	2	2	4	6	100	10	联赛套装木系祈福黄金护身符
1	1	3	2	4	6	104	10	联赛套装水系祈福白银护身符
1	2	3	2	4	6	105	10	联赛套装水系祈福黄金护身符
1	1	4	2	4	6	109	10	联赛套装火系祈福白银护身符
1	2	4	2	4	6	110	10	联赛套装火系祈福黄金护身符
1	1	5	2	4	6	114	10	联赛套装土系祈福白银护身符
1	2	5	2	4	6	115	10	联赛套装土系祈福黄金护身符
2	1	1	2	4	3	143	10	联赛套装_金系女白银衣服
2	1	2	2	4	3	144	10	联赛套装_木系女白银衣服
2	1	3	2	4	3	145	10	联赛套装_水系女白银衣服
2	1	4	2	4	3	146	10	联赛套装_火系女白银衣服
2	1	5	2	4	3	147	10	联赛套装_土系女白银衣服
2	2	1	2	4	3	148	10	联赛套装_金系女黄金衣服
2	2	2	2	4	3	149	10	联赛套装_木系女黄金衣服
2	2	3	2	4	3	150	10	联赛套装_水系女黄金衣服
2	2	4	2	4	3	151	10	联赛套装_火系女黄金衣服
2	2	5	2	4	3	152	10	联赛套装_土系女黄金衣服
2	1	1	1	4	3	153	10	联赛套装_金系男白银衣服
2	1	2	1	4	3	154	10	联赛套装_木系男白银衣服
2	1	3	1	4	3	155	10	联赛套装_水系男白银衣服
2	1	4	1	4	3	156	10	联赛套装_火系男白银衣服
2	1	5	1	4	3	157	10	联赛套装_土系男白银衣服
2	2	1	1	4	3	158	10	联赛套装_金系男黄金衣服
2	2	2	1	4	3	159	10	联赛套装_木系男黄金衣服
2	2	3	1	4	3	160	10	联赛套装_水系男黄金衣服
2	2	4	1	4	3	161	10	联赛套装_火系男黄金衣服
2	2	5	1	4	3	162	10	联赛套装_土系男黄金衣服
3	1	1	1	4	9	477	10	争夺套装_金系白银男帽
3	1	1	2	4	9	478	10	争夺套装_金系白银女帽
3	1	2	1	4	9	479	10	争夺套装_木系白银男帽
3	1	2	2	4	9	480	10	争夺套装_木系白银女帽
3	1	3	1	4	9	481	10	争夺套装_水系白银男帽
3	1	3	2	4	9	482	10	争夺套装_水系白银女帽
3	1	4	1	4	9	483	10	争夺套装_火系白银男帽
3	1	4	2	4	9	484	10	争夺套装_火系白银女帽
3	1	5	1	4	9	485	10	争夺套装_土系白银男帽
3	1	5	2	4	9	486	10	争夺套装_土系白银女帽
3	2	1	1	4	9	487	10	争夺套装_金系黄金男帽
3	2	1	2	4	9	488	10	争夺套装_金系黄金女帽
3	2	2	1	4	9	489	10	争夺套装_木系黄金男帽
3	2	2	2	4	9	490	10	争夺套装_木系黄金女帽
3	2	3	1	4	9	491	10	争夺套装_水系黄金男帽
3	2	3	2	4	9	492	10	争夺套装_水系黄金女帽
3	2	4	1	4	9	493	10	争夺套装_火系黄金男帽
3	2	4	2	4	9	494	10	争夺套装_火系黄金女帽
3	2	5	1	4	9	495	10	争夺套装_土系黄金男帽
3	2	5	2	4	9	496	10	争夺套装_土系黄金女帽
