Name	MapLinkType	MemberCount	PlayerCount	Sex	Camp	Series	Faction	Teacher	Time_Weekend	Time_Common	Time_AdvMatch	ReadyTime_Common	PKTime_Common	ReadyTime_Adv	PKTime_Adv	PriIntoMap	PriReadyMap	PriMacthMap	PriMacthMapPatch	AdvIntoMap	AdvReadyMap	AdvMacthMap	AdvMacthMapPatch	Desc
类型名	地图类型	战队人数	比赛人数	性别判断	阵营判断	五行判断	门派判断	师徒判断	比赛日程（周末）	比赛日程（日常）	比赛日程（八强）	准备时间（秒）	比赛时间（秒）	准备时间（八强）（秒）	比赛时间（八强）（秒）	初级会场地图	初级准备场地图	初级比赛场地图	初级比赛后备图	高级会场地图	高级准备场地图	高级比赛场地图	高级比赛场后备图	描述
Đơn đấu môn phái	3	1	1	0	0	0	1	0	1500	2000	1900	280	600	280	600	1401	1413	1425	1508	1437	1449	1461	1520	<color=yellow>Đơn đấu môn phái<color>, yêu cầu chiến đội 1 người, đối thủ sẽ là người có cùng môn phái.
									1515	2015	1915					1402	1414	1426	1509	1438	1450	1462	1521	
									1530	2030	1930					1403	1415	1427	1510	1439	1451	1463	1522	
									1545	2045	1945					1404	1416	1428	1511	1440	1452	1464	1523	
									1600	2100	2000					1405	1417	1429	1512	1441	1453	1465	1524	
									1615	2115						1406	1418	1430	1513	1442	1454	1466	1525	
									1900							1407	1419	1431	1514	1443	1455	1467	1526	
									1915							1408	1420	1432	1515	1444	1456	1468	1527	
									1930							1409	1421	1433	1516	1445	1457	1469	1528	
									1945							1410	1422	1434	1517	1446	1458	1470	1529	
																1411	1423	1435	1518	1447	1459	1471	1530	
																1412	1424	1436	1519	1448	1460	1472	1531	
																2263	2264	2265	2271	2266	2267	2268	2272	
