EventId	PartId	Name	SubKind	ExClass	StartDate	EndDate	ExParam1	ExParam2	ExParam3	ExParam4	ExParam5	ExParam6	ExParam7	ExParam8	ExParam9	ExParam10	ExParam11	ExParam12	ExParam13	ExParam14	ExParam15	ExParam16	ExParam17	ExParam18	ExParam19	ExParam20	ExParam21	ExParam22	ExParam23	ExParam24	ExParam25	_showall
0	0																															
5	1	接受拜祭英灵任务	npc_getaward		0	0	Npc:3566			CheckLevel:60,"你的等级不到60级，去练练再来吧。"	CheckTaskDay:1,51,52,"你今天已经拜祭过英灵，明天再来。"	CheckTask:53,1,"你已经接受了拜祭任务或者上次的任务还没交，仔细查看一下吧。"	CheckFreeBag:1,"背包空间不足，需要1格空间。"	CheckTask:55,15,"活动期间最多只能完成5次拜祭英灵的任务。"				AddSelect:"我这里有个香炉，先借给你用用。如果你身上有三个青团，三束沉水香的话就可以去城外进行拜祭，完了将“祭祀过的青团”交给我就行了。愿意吗？","我愿意去拜祭英灵"	SetTask:53,1	SetMsg:1,"这是我的家传香炉，先借你用用，别弄丢了，快去祭奠义军英灵吧，还磨蹭什么？"	AddItem:"18,1,310,1",1,1,0											
5	2	我完成拜祭英灵的任务了	npc_getaward		0	0	Npc:3566			CheckItemInBag:"18,1,310,1",1,0,"你有香炉和拜祭过的青团吗？东西都拿来给我看。"	CheckItemInBag:"18,1,311,1",1,0,"你有香炉和拜祭过的青团吗？东西都拿来给我看。"							AddTaskDay:51,52	SetTask:53,0	DelItem:"18,1,310,1",1	DelItem:"18,1,311,1",1	AddItem:"18,1,319,1",1,1,1440	SetMsg:1,"成功完成拜祭英灵的任务。"									
5	3	了解清明节活动	npc_multdialog		0	0	Npc:3566											SetLayer1Msg:"你要了解什么内容呢？"	SetLayer2Msg:"了解青团及沉香制作","活动开始后，游戏中的精英首领会掉落做青团生活技能材料，酒楼老板处也会出售。玩家在游戏维护后，生活技能达50级的能学到如下配方：<enter>    加工系技能：糯米研磨，豆沙加工；<enter>    制作系技能：青团制作<enter>    如果你有足够的精力以及活力就可以制作出“青团”。青团可以用来进行拜祭英灵的任务，也可以直接食用以获取经验。"	SetLayer2Msg:"了解青团祭英灵","    活动开始后，酒楼老板大老白会要求玩家去祭拜义军英魂，与其对话并接受任务后，会得到道具“香炉”。在野外使用香炉会出现一个巨大的祭拜炉鼎，在附近使用“沉水香”就能进行祭拜英灵的任务，从而获得“祭祀过的青团”，交给大老白就能获得奖励。<enter>    注意：完成任务需要3个青团，3束沉水香。沉水香各地酒楼老板处均有售。<enter>    该任务每天1次，共可参加5次。"												
5	4	玩家使用道具香炉	item_useitem		0	0	Item:"xianglu",10080,2,0			CheckInMapType:"fight",0,"在野外地图才能进行拜祭活动"	CheckTaskCurTime:54,300,0,"你已经将香炉放置在了某处，快去那里进行祭拜任务吧。"	CheckTask:53,4,"你今天已经完成了拜祭英灵的任务，赶快把“祭祀过的青团”给大老白看看吧。",""	CheckDialogNpcAtNear:"附近已经有其他的npc在，请到空旷的地方再使用香炉。"					SetTaskCurTime:54	AddNpcInNear:3640,300,1													
5	5	玩家使用沉水香	item_useitem		0	0	Item:"chenxiang",0,2,1			CheckNpcAtNear:3640,1,"你离香炉太远或你没有放置香炉在附近，不能将沉香插进去，快去香炉附近或放下香炉再试试吧。"	CheckItemInBag:"18,1,308,1",1,0,"祭拜英魂怎可无祭品，去找点青团再来祭拜吧！"	CheckTask:53,4,"拜祭英灵任务完成了，赶快将“祭祀过的青团”交给酒楼老板大老白看看。",""	CheckFreeBag:1,"背包空间不足，需要1格空间。"	CheckTask:55,15,"活动期间最多只能完成5次拜祭英灵的任务。"	CheckTaskCurTime:57,10,0,"祭拜不能心急，等会再来。"	CheckTaskLt:53,1,"还没接取拜祭任务。",""	CheckTaskGotoEvent:53,3,0,6	AddTask:53,1	AddTask:55,1	SetTaskCurTime:57	DelItem:"18,1,308,1",1	AddBaseExp:1350,1	SetMsg:2,"你成功点燃了一束沉水香！"									
5	6	玩家使用沉水香第三次	default		0	0												SetTask:53,4	AddTask:55,1	DelItem:"18,1,308,1",1	AddItem:"18,1,311,1",1,1,10080	AddBaseExp:1350,1	SetMsg:2,"您今天的祭拜英灵任务成功完成了！赶快去找大老白领取奖励吧。"	SetMsg:0,"您今天的祭拜英灵任务成功完成了！"								
5	7	使用青团【获得经验】	item_useitem		0	0	Item:"qingtuan",0,0,1			CheckTask:56,50,"最多只能食用50个青团哦！"	CheckLevel:50,"需要达到50级才能食用青团，你等级未达到50级。"							AddTask:56,1	AddBaseExp:60	SetTaskMsg:0,"你已经使用了<color=yellow>%s个<color>青团，每个角色最多使用50个。",56,0,0,0,0												
5	8	精英首领掉落糯米豆沙	boss_dropitem		0	0	DropNpcType:"_JINGYING"	DropNpcType:"_SHOULING"										SetDropItemId:1,6														
5	9	清明节材料商店	npc_getaward		0	0	Npc:3566											OpenShop:148,1,100														
