Id	PartId	Money	BindMoney	Genre	Detail	Particular	Level	RandRate	Name
0	0	0	0	0	0	0	0	0	默认行
1	1	0	0	22	1	57	1	500000	糯米
1	2	0	0	22	1	58	1	500000	豆沙
2	1	0	0	18	1	343	1	2000	周年庆烟花
3	1	0	0	18	1	396	1	2000	庆典烟花
4	1	0	0	18	1	210	1	950000	红包
4	2	0	0	18	1	76	1	50000	铜箱子
5	1	0	0	18	1	210	1	900000	红包
5	2	0	0	18	1	83	1	100000	银箱子
6	1	0	0	18	1	210	1	900000	红包
6	2	0	0	18	1	188	1	100000	金箱子
7	2	0	0	18	1	114	11	1000000	金牌子
8	2	0	0	18	1	1	11	700000	木牌子
9	2	0	0	18	1	1	11	700000	水牌子
10	2	0	0	18	1	1	11	700000	火牌子
11	2	0	0	18	1	1	11	700000	土牌子
12	2	0	0	18	1	1	10	500000	逃跑的士兵
13	2	0	0	18	1	1	10	1000000	逃跑的将军
14	1	0	0	18	1	955	1	1000000	水晶裂片
15	1	0	0	18	1	1001	1	4000	花晨月夕
15	2	0	0	18	1	1002	1	4000	众星拱月
15	3	0	0	18	1	1003	1	4000	风月无双
16	1	0	0	18	1	1004	1	3000	神州同乐烟花
17	1	0	0	18	1	1081	1	1000	小怪掉落陈旧袋子
18	1	0	0	18	1	700	1	625	淘宝小怪掉落
18	2	0	0	18	1	701	1	625	淘宝小怪掉落
18	3	0	0	18	1	702	1	625	淘宝小怪掉落
18	4	0	0	18	1	703	1	625	淘宝小怪掉落
18	5	0	0	18	1	704	1	625	淘宝小怪掉落
18	6	0	0	18	1	705	1	625	淘宝小怪掉落
18	7	0	0	18	1	706	1	625	淘宝小怪掉落
18	8	0	0	18	1	707	1	625	淘宝小怪掉落
19	1	0	0	18	1	700	1	25000	淘宝首领掉落
19	2	0	0	18	1	701	1	25000	淘宝首领掉落
19	3	0	0	18	1	702	1	25000	淘宝首领掉落
19	4	0	0	18	1	703	1	25000	淘宝首领掉落
19	5	0	0	18	1	704	1	25000	淘宝首领掉落
19	6	0	0	18	1	705	1	25000	淘宝首领掉落
19	7	0	0	18	1	706	1	25000	淘宝首领掉落
19	8	0	0	18	1	707	1	25000	淘宝首领掉落
20	1	0	0	18	1	700	1	125000	淘宝精英首领掉落
20	2	0	0	18	1	701	1	125000	淘宝精英首领掉落
20	3	0	0	18	1	702	1	125000	淘宝精英首领掉落
20	4	0	0	18	1	703	1	125000	淘宝精英首领掉落
20	5	0	0	18	1	704	1	125000	淘宝精英首领掉落
20	6	0	0	18	1	705	1	125000	淘宝精英首领掉落
20	7	0	0	18	1	706	1	125000	淘宝精英首领掉落
20	8	0	0	18	1	707	1	125000	淘宝精英首领掉落
21	1	0	0	18	1	700	1	62500	55boss
21	2	0	0	18	1	701	1	62500	55boss
21	3	0	0	18	1	702	1	62500	55boss
21	4	0	0	18	1	703	1	62500	55boss
21	5	0	0	18	1	704	1	62500	55boss
21	6	0	0	18	1	705	1	62500	55boss
21	7	0	0	18	1	706	1	62500	55boss
21	8	0	0	18	1	707	1	62500	55boss
22	1	0	0	18	1	1031	1	10000	小怪掉龙形模具
23	1	0	0	18	1	1031	1	500000	首领掉落龙形模具
24	1	0	0	18	1	1031	1	1000000	精英掉落龙形模具
25	1	0	0	18	1	1056	1	1000	小怪掉落本子
26	1	0	0	18	1	919	1	10000	90级以上小怪掉落
27	1	0	0	18	1	919	1	1000000	首领掉落胜利徽章
28	1	0	0	18	1	1099	1	1000000	精英首领怪掉落烤鹅
29	1	0	0	18	1	1113	1	600	小怪掉落元旦烟花
30	1	0	0	18	1	1128	1	10000	小怪掉落果篮
31	1	0	0	18	1	1213	1	1000	小怪掉落材料包
32	1	0	0	18	1	1265	1	5000	小怪掉落空袋子-越南4月
