Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
5000						140000		½ðÇ®7500
1500						250000		½ðÇ®750
		18	1	1	3	200000		3¼¶Ðþ¾§
		18	1	1	4	210000		4¼¶Ðþ¾§
		18	1	1	5	80000		5¼¶Ðþ¾§
		18	1	1	6	50000		6¼¶Ðþ¾§
		18	1	1	7	8000		7¼¶Ðþ¾§
		18	1	1	8	2000		8¼¶Ðþ¾§
		2	1	787	6	1200		刀翠烈焰刀（6级橙装PvsP）
		2	1	427	6	3400		刀翠烈焰刀（6级紫装PvsP）
		2	1	786	5	2400		刀翠月牙刀（5级橙装PvsP）
		2	1	426	5	6800		刀翠月牙刀（5级紫装PvsP）
		2	1	816	5	2400		剑翠龙泉剑（5级橙装PvsP）
		2	1	456	5	6800		剑翠龙泉剑（5级紫装PvsP）
		2	1	817	6	1200		剑翠万仞剑（6级橙装PvsP）
		2	1	457	6	3400		剑翠万仞剑（6级紫装PvsP）
		2	1	806	5	2400		气段穿云缠手（5级橙装PvsP）
		2	1	446	5	6800		气段穿云缠手（5级紫装PvsP）
		2	1	807	6	1200		气段含光缠手（6级橙装PvsP）
		2	1	447	6	3400		气段含光缠手（6级紫装PvsP）
		2	1	796	5	2400		指段穿云缠手（5级橙装PvsP）
		2	1	436	5	6800		指段穿云缠手（5级紫装PvsP）
		2	1	797	6	1200		指段含光缠手（6级橙装PvsP）
		2	1	437	6	3400		指段含光缠手（6级紫装PvsP）
