Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1709	1	17500		初级武林高手令（金）
		18	1	1710	2	7500		中级武林高手令（金）
		18	1	1711	3	2000		高级武林高手令（金）
		18	1	1712	1	105000		初级武林高手令（木）
		18	1	1713	2	45000		中级武林高手令（木）
		18	1	1714	3	12000		高级武林高手令（木）
		18	1	1715	1	17500		初级武林高手令（水）
		18	1	1716	2	7500		中级武林高手令（水）
		18	1	1717	3	2000		高级武林高手令（水）
		18	1	1718	1	17500		初级武林高手令（火）
		18	1	1719	2	7500		中级武林高手令（火）
		18	1	1720	3	2000		高级武林高手令（火）
		18	1	1721	1	17500		初级武林高手令（土）
		18	1	1722	2	7500		中级武林高手令（土）
		18	1	1723	3	2000		高级武林高手令（土）
3000						150000		金钱1000
10000						75000		金钱10000
		18	1	20449	1	80000		Rương Càn Khôn
		18	1	1	4	130000		4级玄晶
		18	1	1	5	170000		5级玄晶
		18	1	1	6	100000		6级玄晶
		18	1	1	7	20000		7级玄晶
		18	1	1	8	5000		8级玄晶
