nId	nGroup	nGroupEx	nType	Genre	DetailType	ParticularType	Level	nNum	nTime	nMoney	BindMoney	BindCoin	Ready1Time	nPlayerLevel	nDay
1	1	1	1	18	1	938	1	1	1440				0	0	0
2	2	1	1	18	1	189	1	1					0	0	3
3	2	2	1	18	1	114	6	1					0	0	7
4	2	3	1	18	1	1000	1	1	-1				0	0	12
5	2	4	1	18	1	525	1	1					0	0	18
6	2	5	1	18	1	114	8	1					0	0	25
7	3	1	3								2000		900	0	0
8	3	2	1	18	1	80	1	1					900	0	0
9	3	3	1	18	1	80	1	2					1800	0	0
10	3	4	1	18	1	71	2	1					1800	0	0
11	3	5	4									200	1800	0	0
12	4	1	1	18	1	195	1	1	10080				0	1	0
13	4	2	1	18	1	85	1	1					0	10	0
14	4	3	1	18	1	71	2	2					0	20	0
15	4	3	1	18	1	392	1	2					0	20	0
16	4	4	1	18	1	113	1	1					0	30	0
17	4	4	1	18	1	2	3	1					0	30	0
18	4	5	5	18	1	114	4	10	43200			1000	0	40	0
19	4	6	5	21	5	1	1	1			200000		0	50	0
20	4	7	5	18	1	393	1	5				2000	0	60	0
21	4	8	1	18	1	114	7	2	43200				0	69	0
22	4	8	1	18	1	394	1	5					0	69	0
23	4	9	1	18	1	394	1	10					0	79	0
24	4	9	1	18	1	212	1	2					0	79	0
25	4	10	1	18	1	394	1	10					0	89	0
26	4	10	1	18	1	212	1	3					0	89	0
27	4	11	1	18	1	395	1	2					0	99	0
