nId	Name	Kind	Genre	DetailType	ParticularType	Level	Part	Rate	Series	Type	Sex
1	镜华铠	橙装PVP_棍少、天王镜华铠	2	3	812	10	1	920			
2	霹雳金凤甲	橙装PVP_棍少、天王霹雳金凤甲	2	3	822	10	1				
3	千忍秘装	橙装PVP_刀少千忍秘装	2	3	832	10	1				
4	九尾白狐裘	橙装PVP_刀少九尾白狐裘	2	3	842	10	1				
5	千忍秘装	橙装PVP_刀毒、唐门、明教千忍秘装	2	3	852	10	1				
6	九尾白狐裘	橙装PVP_刀毒、唐门、明教九尾白狐裘	2	3	862	10	1				
7	绛纱袍	橙装PVP_掌毒绛纱袍	2	3	872	10	1				
8	沉香衫	橙装PVP_掌毒沉香衫	2	3	882	10	1				
9	镜华铠	橙装PVP_指段镜华铠	2	3	892	10	1				
10	霹雳金凤甲	橙装PVP_指段霹雳金凤甲	2	3	902	10	1				
11	绛纱袍	橙装PVP_峨嵋、翠烟、气段绛纱袍	2	3	912	10	1				
12	沉香衫	橙装PVP_峨嵋、翠烟、气段沉香衫	2	3	922	10	1				
13	镜华铠	橙装PVP_战忍镜华铠	2	3	932	10	1				
14	霹雳金凤甲	橙装PVP_战忍霹雳金凤甲	2	3	942	10	1				
15	千忍秘装	橙装PVP_魔忍、丐帮千忍秘装	2	3	952	10	1				
16	九尾白狐裘	橙装PVP_魔忍、丐帮九尾白狐裘	2	3	962	10	1				
17	镜华铠	橙装PVP_剑武镜华铠	2	3	972	10	1				
18	霹雳金凤甲	橙装PVP_剑武霹雳金凤甲	2	3	982	10	1				
19	绛纱袍	橙装PVP_气武、昆仑绛纱袍	2	3	992	10	1				
20	沉香衫	橙装PVP_气武、昆仑沉香衫	2	3	1002	10	1				
21	仙缘符	橙装PVP_金系所有路线仙缘符	2	6	211	10	2	460			
22	仙缘符	橙装PVP_木系所有路线仙缘符	2	6	221	10	2				
23	仙缘符	橙装PVP_水系所有路线仙缘符	2	6	231	10	2				
24	仙缘符	橙装PVP_火系所有路线仙缘符	2	6	241	10	2				
25	仙缘符	橙装PVP_土系所有路线仙缘符	2	6	251	10	2				
26	武侯束带	橙装PVP_金系所有路线武侯束带	2	8	410	10	3	920			
27	越女玉带	橙装PVP_金系所有路线越女玉带	2	8	420	10	3				
28	武侯束带	橙装PVP_木系所有路线武侯束带	2	8	430	10	3				
29	越女玉带	橙装PVP_木系所有路线越女玉带	2	8	440	10	3				
30	武侯束带	橙装PVP_水系所有路线武侯束带	2	8	450	10	3				
31	越女玉带	橙装PVP_水系所有路线越女玉带	2	8	460	10	3				
32	武侯束带	橙装PVP_火系所有路线武侯束带	2	8	470	10	3				
33	越女玉带	橙装PVP_火系所有路线越女玉带	2	8	480	10	3				
34	武侯束带	橙装PVP_土系所有路线武侯束带	2	8	490	10	3				
35	越女玉带	橙装PVP_土系所有路线越女玉带	2	8	500	10	3				
36	天蚕靴	橙装PVP_金系所有路线天蚕靴	2	7	412	10	4	920			
37	飞凤靴	橙装PVP_金系所有路线飞凤靴	2	7	422	10	4				
38	天蚕靴	橙装PVP_木系所有路线天蚕靴	2	7	432	10	4				
39	飞凤靴	橙装PVP_木系所有路线飞凤靴	2	7	442	10	4				
40	天蚕靴	橙装PVP_水系所有路线天蚕靴	2	7	452	10	4				
41	飞凤靴	橙装PVP_水系所有路线飞凤靴	2	7	462	10	4				
42	天蚕靴	橙装PVP_火系所有路线天蚕靴	2	7	472	10	4				
43	飞凤靴	橙装PVP_火系所有路线飞凤靴	2	7	482	10	4				
44	天蚕靴	橙装PVP_土系所有路线天蚕靴	2	7	492	10	4				
45	飞凤靴	橙装PVP_土系所有路线飞凤靴	2	7	502	10	4				
