MAPID	TRAPX	TRAPY
115	51008	100896
115	51264	100128
115	51584	101056
115	51360	100576
115	51520	101600
115	51840	100160
115	52192	99936
115	52128	100352
115	51776	100576
115	52096	100768
115	52000	101152
115	51936	101856
115	52448	100224
115	52384	100832
115	52640	100544
115	52672	100960
115	52448	101248
115	52320	101792
115	52992	100576
115	53056	100960
86	57056	111872
86	57376	111264
86	57408	112064
86	57440	112544
86	58016	111296
86	58272	110592
86	58080	112352
86	58720	110400
86	58688	110976
86	58368	111744
86	58624	112480
86	58496	113184
86	59200	111200
86	58880	111776
86	59296	112096
86	59136	112800
86	59424	110560
86	59488	111616
86	59744	112288
86	60160	111840
100	56128	111584
100	56128	112416
100	55840	112576
100	56064	112992
100	56800	111616
100	56736	112160
100	56320	112000
100	56576	112640
100	56448	113216
100	57184	111552
100	57120	112128
100	56928	112736
100	57184	113024
100	56832	113600
100	57504	111840
100	57376	112448
100	57728	112416
100	57568	112992
100	57376	113536
100	58016	112864
